,工作名称,工作城市,工作地点,工作公司,工作薪资,最大薪资(K),最小薪资(K),平均工资(K),工作学历,工作标签,工作经验,招聘详情页链接
0,高级python开发工程师,北京,北京·朝阳区·百子湾,迈外迪,20-35K,35,20,27.5,本科,新零售,5-10年,https://www.zhipin.com/gongsi/7fdcdfff003aeae11XZ_3dW9Eg~~.html
1,Python工程师,北京,北京·海淀区·西北旺,纬创软件,15-24K,24,15,19.5,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/fc705eb462e9b27b1HJ-2t60GA~~.html
2,仿真开发工程师,北京,北京·海淀区·五道口,魔门塔科技,20-40K,40,20,30.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/a3fff9582538ae7f03J92d27.html
3,软件工程师-通才,北京,北京·海淀区·西北旺,小马慧行,30-60K·16薪,60,30,45.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/946657ff8adb68be3nFy3928GQ~~.html
4,数据服务技术支持专家,北京,北京·朝阳区·鸟巢,今日头条,15-30K,30,15,22.5,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
5,机器学习平台研发工程师,北京,北京·海淀区·上地,新浪数科,40-55K·15薪,55,40,47.5,本科,互联网金融,5-10年,https://www.zhipin.com/gongsi/a10c34f5244ce7901HR70t24Eg~~.html
6,自动驾驶 后端开发,北京,北京·海淀区·西北旺,滴滴出行,25-50K·15薪,50,25,37.5,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/980f48937a13792b1nd63d0~.html
7,量化策略开发工程师,北京,北京·丰台区·丽泽,银河证券,25-50K,50,25,37.5,硕士,互联网金融,3-5年,https://www.zhipin.com/gongsi/8f65b22e28de3fb51XR72Nm0.html
8,云计算研发工程师-北京,北京,北京·朝阳区·望京,首都在线,20-40K,40,20,30.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/ab5156bf0e6bcc1e1nB_0tQ~.html
9,运维开发工程师,北京,北京,本初子午,18-28K·15薪,28,18,23.0,本科,医疗健康,1-3年,https://www.zhipin.com/gongsi/af6ba190a9c3fd071nF92tm8FVI~.html
10,Python开发工程师,北京,北京·朝阳区·立水桥,途游游戏,25-50K·13薪,50,25,37.5,本科,游戏,经验不限,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
11,Python开发工程师,北京,北京·海淀区·知春路,达观数据,15-25K,25,15,20.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/13398c770ed6d8b61nB60tw~.html
12,python开发工程师（算法仓开发）,北京,北京,旷视MEGVII,25-40K·14薪,40,25,32.5,本科,计算机服务,1-3年,https://www.zhipin.com/gongsi/075e0d17cd137e971nV43NU~.html
13,Python,北京,北京·海淀区·紫竹桥,绿盟科技,13-25K,25,13,19.0,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/56fcc3e5c3f3939d1Xd929q4.html
14,爬虫工程师,北京,北京·朝阳区·酒仙桥,奇虎360,20-40K·15薪,40,20,30.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/0ac3daa93b4ee7011XN4.html
15,开发工程师,北京,北京·海淀区·五道口,Veritas,30-50K·14薪,50,30,40.0,不限,企业服务,经验不限,https://www.zhipin.com/gongsi/8a6dea8e3e856f371HV63ti9.html
16,Python/GO开发工程师,北京,北京·朝阳区·酒仙桥,360集团,20-30K·15薪,30,20,25.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/825f0be0dd10b3991nZ-3N-8EFQ~.html
17,云网络平台研发专家/高级工程师,北京,北京·海淀区·中关村,蓝宇,30-60K,60,30,45.0,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/12a9e24711f0c83e3nF-3d-5Fw~~.html
18,python工程师,北京,北京·海淀区·西北旺,中电金信,13-25K,25,13,19.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/9e1bceeac44be7361nd80tq6E1U~.html
19,研发工程师（偏后台研发方向）,北京,北京·朝阳区·望京,北京知道创宇,18-23K,23,18,20.5,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/d272aa0ee2b0eaa41XRz09y1.html
20,后端python开发,北京,北京·昌平区·回龙观,纵目科技,18-28K·14薪,28,18,23.0,本科,汽车生产,3-5年,https://www.zhipin.com/gongsi/8aa9f7a0e94ad5410nV73dm5.html
21,后端研发工程师,北京,北京·海淀区·学院路,长亭科技,20-40K·14薪,40,20,30.0,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/3cd0c8b96fd0bd001nJ53dy5.html
22,高级Python爬虫工程师,北京,北京·海淀区·上地,千里马,25-30K·14薪,30,25,27.5,大专,互联网,5-10年,https://www.zhipin.com/gongsi/cb6dfc88fe27b56b1nNy2dw~.html
23,中高级python开发工程师,北京,北京·海淀区·中关村,乐元素,20-35K·14薪,35,20,27.5,本科,游戏,3-5年,https://www.zhipin.com/gongsi/b8f3202d5736c5481nN539u1.html
24,外派字节—Python开发工程师（三餐+双休）,北京,北京·海淀区·双榆树,软通动力信息技术集团,12-24K,24,12,18.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
25,Python开发工程师,北京,北京·朝阳区·太阳宫,BOSS直聘,25-40K·16薪,40,25,32.5,本科,人力资源服务,5-10年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
26,资深python工程师（深度学习）,北京,北京·海淀区·上地,梅卡曼德机器人,22-40K,40,22,31.0,硕士,计算机软件,3-5年,https://www.zhipin.com/gongsi/4187bf5fb5aa26cf1H1409u5.html
27,python后台开发工程师,北京,北京·海淀区·学院路,志翔科技,25-40K,40,25,32.5,本科,信息安全,1-3年,https://www.zhipin.com/gongsi/e58d095ee7c205131Hd929i1.html
28,地图服务开发工程师,北京,北京·海淀区·西北旺,滴滴,25-50K·15薪,50,25,37.5,不限,移动互联网,经验不限,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
29,Python开发工程师,北京,北京·朝阳区·酒仙桥,蓝标传媒,18-25K·14薪,25,18,21.5,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/d854beca181779fb1H1z0964GA~~.html
30,模型生产平台开发工程师,北京,北京,SenseTime,20-40K·15薪,40,20,30.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
31,Python工程师,北京,北京·海淀区·西三旗,中科星图,20-35K,35,20,27.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/b5d93be53acbd27c1HJ92tW_GQ~~.html
32,AI平台 - 高级软件工程师,北京,北京·海淀区·中关村,NIO蔚来,50-80K·14薪,80,50,65.0,本科,汽车生产,3-5年,https://www.zhipin.com/gongsi/c61d023bc6632dd91XZy2dQ~.html
33,python后端开发工程师,北京,北京·东城区·朝阳门,艾迈科斯媒体科技,13-25K·13薪,25,13,19.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/91d2124471f8d59e0nV-2dq4FQ~~.html
34,高级Python工程师,北京,北京·昌平区·天通苑,我爱我家,15-25K,25,15,20.0,本科,互联网,5-10年,https://www.zhipin.com/gongsi/61ceb09dd44e66283nV-2NQ~.html
35,python开发工程师,北京,北京·海淀区·人民大学,软通动力,11-22K,22,11,16.5,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html
36,【急招】Python工程师【外派嘉实基金】,北京,北京·朝阳区·国贸,神州信息,15-25K,25,15,20.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/b43e9afee3596e9b1Xd60tu6.html
37,配置管理工程师,北京,北京·西城区·长椿街,中国移动研究院,20-40K·13薪,40,20,30.0,本科,数据服务,3-5年,https://www.zhipin.com/gongsi/82520fefdaff620f1nJ92NS9EQ~~.html
38,Python/Go后端开发工程师 — 抖音,北京,北京·海淀区·中关村,北京字节跳动,25-50K,50,25,37.5,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
39,云计算开发工程师,北京,北京·海淀区·上地,联通云数据有限公司,25-35K,35,25,30.0,本科,运营商/增值服务,3-5年,https://www.zhipin.com/gongsi/c7f730eac88329a31XZ72t20FA~~.html
40,Windows桌面测试,北京,北京·朝阳区·望京,阿里巴巴集团,24-45K·16薪,45,24,34.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/5d627415a46b4a750nJ9.html
41,python研发工程师-远程驾驶平台方向,北京,北京·海淀区·五道口,AutoX无人驾驶,25-50K·15薪,50,25,37.5,不限,互联网,1-3年,https://www.zhipin.com/gongsi/896fd1650f6897e71n1y2t-_FFQ~.html
42,后端开发工程师,北京,北京·海淀区·牡丹园,字节跳动,25-50K·15薪,50,25,37.5,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/1311d10fe26c4ee51Hd73ti0FA~~.html
43,大数据开发（Python后端方向）,北京,北京·西城区·西单,联通支付,25-35K,35,25,30.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/8e6212a76d62964733Jz3N0~.html
44,风险科技工程师,北京,北京·朝阳区·国贸,嘉实基金,20-40K,40,20,30.0,本科,互联网金融,1年以内,https://www.zhipin.com/gongsi/dd241686245c0f4a1nN52ty7.html
45,python开发工程师,北京,北京,华为技术有限公司,20-40K·15薪,40,20,30.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
46,Python,北京,北京·海淀区·西北旺,腾讯科技(北京)公司,15-30K·16薪,30,15,22.5,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/ff3526a5364ae28e1Hd939q-.html
47,Python爬虫工程师,北京,北京,途家网,20-30K·16薪,30,20,25.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/e5111c1b4928964b33V53w~~.html
48,后端开发工程师,北京,北京·朝阳区·望京,网神信息技术(北...,25-50K·14薪,50,25,37.5,本科,信息安全,经验不限,https://www.zhipin.com/gongsi/f4d46435748422ec1Hd509y9EA~~.html
49,python软件开发,北京,北京·朝阳区·酒仙桥,Syntronic,28-35K,35,28,31.5,本科,通信/网络设备,5-10年,https://www.zhipin.com/gongsi/4237bb0a29431bc60Xdz2Ny8.html
50,(内容方向)服务端架构师,北京,北京·海淀区·上地,百度,15-30K,30,15,22.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
51,pathon/golang研发工程师,北京,北京·海淀区·西三旗,一亩田,20-35K,35,20,27.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/bb755b0d4351512d1nR_2dW1.html
52,自动化攻防渗透工具研发工程师,北京,北京·海淀区·西北旺,华为,25-50K·15薪,50,25,37.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
53,策略开发工程师,北京,北京·朝阳区·太阳宫,便利蜂,35-65K·14薪,65,35,50.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/551d062684338c9703Jz3N24.html
54,2022届校招-Python开发工程师,北京,北京·朝阳区·太阳宫,老虎国际,15-30K·14薪,30,15,22.5,本科,互联网,在校/应届,https://www.zhipin.com/gongsi/3d7f204d36f8c0141nB-39q8.html
55,安全开发,北京,北京·海淀区·上地,高途,20-40K·14薪,40,20,30.0,本科,在线教育,3-5年,https://www.zhipin.com/gongsi/19e5fc4de4bb93f01nVy2d65Fls~.html
56,Python开发工程师,北京,北京·石景山区·八角,光大科技,15-30K·15薪,30,15,22.5,本科,互联网金融,1-3年,https://www.zhipin.com/gongsi/c73a957986af34b31XN53Nq1EA~~.html
57,服务研发工程师（python）,北京,北京·朝阳区·高碑店,掌阅科技,30-40K·14薪,40,30,35.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/0ed7168c0705429b1nZ-3g~~.html
58,系统研发工程师（python）,北京,北京,蓝标传媒,20-30K·14薪,30,20,25.0,本科,广告营销,1-3年,https://www.zhipin.com/gongsi/703a0bc72c73dd420nZ93Nm4FA~~.html
59,爬虫工程师,北京,北京,天下秀,15-26K,26,15,20.5,大专,互联网,3-5年,https://www.zhipin.com/gongsi/34c0d9f26ae125d41nx7398~.html
60,量化开发工程师,北京,北京·西城区·西单,中泰证券,25-40K·16薪,40,25,32.5,硕士,互联网金融,5-10年,https://www.zhipin.com/gongsi/dd4c49c4db61b0ba1nx63tW_.html
61,Python开发工程师,北京,北京·朝阳区·朝外,慧科讯业,25-50K·13薪,50,25,37.5,本科,数据服务,3-5年,https://www.zhipin.com/gongsi/d1305df085a42bf31Xd82NS9.html
62,python工程师,北京,北京·东城区·东直门,嘉和美康,18-25K·13薪,25,18,21.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/621e45455c67ce2d1nF92to~.html
63,python,北京,北京·海淀区·北太平庄,中软国际,13-25K,25,13,19.0,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
64,后端开发工程师/免费三餐/13薪,北京,北京·海淀区·学院路,亿达信息,12-24K,24,12,18.0,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/f4d243a526496fe21XB_29S_.html
65,后端开发（Python）,北京,北京·海淀区·中关村,小赢科技,20-25K·15薪,25,20,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/e1458eab4777c3e50HF92Nm6.html
66,网络流量分析,北京,北京·海淀区·双榆树,腾讯,35-65K,65,35,50.0,本科,互联网,5-10年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
67,分布式高级工程师,北京,北京·朝阳区·鸟巢,京东集团,30-60K·14薪,60,30,45.0,本科,电子商务,3-5年,https://www.zhipin.com/gongsi/33e052361693f8371nF-3d25.html
68,python开发工程师,北京,北京·朝阳区·望京,陌陌,30-55K·16薪,55,30,42.5,不限,移动互联网,经验不限,https://www.zhipin.com/gongsi/937794456fd77b791nd-2t-5.html
69,AIOps研发工程师,北京,北京,星网锐捷,30-50K,50,30,40.0,本科,通信/网络设备,经验不限,https://www.zhipin.com/gongsi/6bbeed3ae7ef77ac1nV52du_.html
70,Python后端工程师,北京,北京·朝阳区·燕莎,图森未来,15-30K,30,15,22.5,不限,互联网,3-5年,https://www.zhipin.com/gongsi/cc893a1a3b32699a1n1-3t-1GVI~.html
71,业务安全工程师（北京/广州）,北京,北京·朝阳区·望京,BIGO,28-50K·16薪,50,28,39.0,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/d1539fda413000a10XB-0tW6.html
72,Python开发,北京,北京·海淀区·西北旺,阳光雨露,14-22K,22,14,18.0,大专,O2O,3-5年,https://www.zhipin.com/gongsi/7e9602d1e778a2ab1HF92w~~.html
73,算法工程化（偏python，c++）,北京,北京·朝阳区·望京,数坤网络科技股份...,20-40K·16薪,40,20,30.0,本科,医疗健康,1-3年,https://www.zhipin.com/gongsi/293548364dd0485f1nxz2dW1FVM~.html
74,后端高级/资深开发工程师—Python,北京,北京·海淀区·知春路,神策数据,25-50K·14薪,50,25,37.5,本科,数据服务,3-5年,https://www.zhipin.com/gongsi/4845e074ed747d6a33V629S0Ew~~.html
75,Python后端开发工程师,北京,北京,华如科技,15-22K·14薪,22,15,18.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/a1714a743b768dd80nB53d2-.html
76,服务端开发工程师-Python,北京,北京·西城区·动物园,奇安信集团,18-24K·14薪,24,18,21.0,本科,信息安全,在校/应届,https://www.zhipin.com/gongsi/2380ed19723177f203d82dy6FA~~.html
77,python开发工程师,北京,北京·朝阳区·三元桥,云智慧,18-35K·13薪,35,18,26.5,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/f45a1058a4581c9d1XV_3Ni-Eg~~.html
78,Python开发工程师,北京,北京·朝阳区·望京,开域集团,15-30K,30,15,22.5,硕士,互联网,经验不限,https://www.zhipin.com/gongsi/6ee50d1d52b62f831nx-3du_Fw~~.html
79,Python,北京,北京·朝阳区·鸟巢,博彦科技,13-22K,22,13,17.5,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/e715aa1be4283fc21nd62tq5.html
80,后端工程师,北京,北京·昌平区·回龙观,指南针公司,12-24K,24,12,18.0,本科,互联网金融,1-3年,https://www.zhipin.com/gongsi/7903185e11ab231a1nN92ty6.html
81,软件开发工程师-CDN 方向,北京,北京·海淀区·清河,小米,25-50K,50,25,37.5,不限,互联网,3-5年,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
82,Python后端工程师,北京,北京,领创集团,20-30K·14薪,30,20,25.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/d96c18ce365ee0f10HV42tm4.html
83,Python-爬虫工程师,北京,北京·海淀区·上地,得逸信息,15-30K,30,15,22.5,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/21bfcfd8fe09e0691HV72dq7Fw~~.html
84,Python高级工程师,北京,北京·海淀区·中关村,新东方,25-40K·14薪,40,25,32.5,本科,在线教育,3-5年,https://www.zhipin.com/gongsi/78d37a40ee3fb9150HVz39S5Ew~~.html
85,python工程师,北京,北京·朝阳区·来广营,中关村科金,15-23K,23,15,19.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2f5d7dc19b8510ad1XV92N-4FA~~.html
86,Python后端研发工程师,北京,北京·海淀区·牡丹园,医渡云,25-50K·14薪,50,25,37.5,本科,互联网,5-10年,https://www.zhipin.com/gongsi/8f580ba1be2477691Xx70966.html
87,Python开发工程师,北京,北京·海淀区·西北旺,深圳华为,12-24K,24,12,18.0,本科,通信/网络设备,经验不限,https://www.zhipin.com/gongsi/f9853f80140028aa1ndy3d24.html
88,Python开发工程师,北京,北京·海淀区·清河,好未来,20-30K·15薪,30,20,25.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/efa878c051261c7433Z6.html
89,Python工程师,北京,北京·海淀区·林萃,诚迈科技,12-22K,22,12,17.0,大专,移动互联网,3-5年,https://www.zhipin.com/gongsi/9fbed997e41422bd1HB839Q~.html
90,Python研发工程师,北京,北京·朝阳区·国贸,宜信公司,20-35K,35,20,27.5,本科,互联网金融,3-5年,https://www.zhipin.com/gongsi/ca0edf142395fbe51nR73Ng~.html
91,Python开发,北京,北京,长安通信,15-30K,30,15,22.5,大专,通信/网络设备,1-3年,https://www.zhipin.com/gongsi/7f3d013cd5301cc71XJz3tW_.html
92,CAD工程师,北京,北京·海淀区·马连洼,比特大陆,25-50K·15薪,50,25,37.5,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/5189f3fadb73e42f1HN40t8~.html
93,python/java爬虫,北京,北京·丰台区·科技园区,房天下,13-26K,26,13,19.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/8342c8de7a5143111nxz39y_GFQ~.html
94,算法工程师,北京,北京·东城区·天坛,中国搜索,20-40K,40,20,30.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/efbcb685bb9fe8031nx53Ni8.html
95,Python开发工程师,北京,北京,青藤云安全,15-30K·14薪,30,15,22.5,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/8de1f130f2c1340d0XZ_2g~~.html
96,资深Python工程师,北京,北京·朝阳区·百子湾,迈外迪,30-45K,45,30,37.5,本科,新零售,5-10年,https://www.zhipin.com/gongsi/7fdcdfff003aeae11XZ_3dW9Eg~~.html
97,服务端高级开发工程师,北京,北京·海淀区·双榆树,今日头条,20-40K·15薪,40,20,30.0,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
98,Python开发工程师,北京,北京·海淀区·五道口,魔门塔科技,20-30K·14薪,30,20,25.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/a3fff9582538ae7f03J92d27.html
99,自动驾驶基础架构开发工程师（offboard),北京,北京·海淀区·西北旺,滴滴出行,20-40K·15薪,40,20,30.0,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/980f48937a13792b1nd63d0~.html
100,数仓开发工程师,北京,北京,本初子午,18-30K,30,18,24.0,本科,医疗健康,3-5年,https://www.zhipin.com/gongsi/af6ba190a9c3fd071nF92tm8FVI~.html
101,Python服务器开发工程师,北京,北京·朝阳区·立水桥,途游游戏,23-35K·13薪,35,23,29.0,本科,游戏,3-5年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
102,OpenStack虚拟化计算研发专家,北京,北京·朝阳区·酒仙桥,360集团,30-60K·15薪,60,30,45.0,本科,互联网,5-10年,https://www.zhipin.com/gongsi/825f0be0dd10b3991nZ-3N-8EFQ~.html
103,后端开发工程师（Python）,北京,北京,乐元素,18-35K·15薪,35,18,26.5,本科,游戏,3-5年,https://www.zhipin.com/gongsi/b8f3202d5736c5481nN539u1.html
104,运维开发leader,北京,北京·朝阳区·太阳宫,BOSS直聘,30-60K·16薪,60,30,45.0,本科,人力资源服务,3-5年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
105,Python系统架构师,北京,北京·海淀区·学院路,志翔科技,25-50K·13薪,50,25,37.5,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/e58d095ee7c205131Hd929i1.html
106,网络研发工程师（混合云方向）,北京,北京,滴滴,30-60K·15薪,60,30,45.0,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
107,openstack运维开发工程师,北京,北京·海淀区·中关村,SenseTime,25-50K·15薪,50,25,37.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
108,Python后端开发,北京,北京·东城区·朝阳门,艾迈科斯媒体科技,15-30K·13薪,30,15,22.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/91d2124471f8d59e0nV-2dq4FQ~~.html
109,后端研发工程师（量产采集管理平台）,北京,北京·海淀区·中关村,NIO蔚来,50-80K,80,50,65.0,本科,汽车生产,经验不限,https://www.zhipin.com/gongsi/c61d023bc6632dd91XZy2dQ~.html
110,Python,北京,北京·海淀区·上地,软通动力,11-22K,22,11,16.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html
111,python开发工程师,北京,北京·西城区·长椿街,中国移动研究院,25-40K,40,25,32.5,硕士,数据服务,1-3年,https://www.zhipin.com/gongsi/82520fefdaff620f1nJ92NS9EQ~~.html
112,后端开发工程师,北京,北京·海淀区·双榆树,北京字节跳动,25-50K·16薪,50,25,37.5,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
113,Python开发工程师,北京,北京·海淀区·西北旺,华为技术有限公司,20-40K·16薪,40,20,30.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
114,资深开发工程师,北京,北京·朝阳区·望京,网神信息技术(北...,25-50K·14薪,50,25,37.5,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/f4d46435748422ec1Hd509y9EA~~.html
115,Python,北京,北京·海淀区·西北旺,百度,15-30K,30,15,22.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
116,软件开发工程师,北京,北京·海淀区·西北旺,华为,16-30K,30,16,23.0,硕士,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
117,爬虫工程师,北京,北京·朝阳区·太阳宫,便利蜂,30-60K·14薪,60,30,45.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/551d062684338c9703Jz3N24.html
118,爬虫工程师,北京,北京·朝阳区·三里屯,天下秀,15-25K,25,15,20.0,大专,互联网,1-3年,https://www.zhipin.com/gongsi/34c0d9f26ae125d41nx7398~.html
119,爬虫架构师,北京,北京·朝阳区·东大桥,慧科讯业,60-90K·15薪,90,60,75.0,本科,数据服务,5-10年,https://www.zhipin.com/gongsi/d1305df085a42bf31Xd82NS9.html
120,Python开发工程师,北京,北京·海淀区·西北旺,中软国际,13-25K,25,13,19.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
121,后端开发工程师-外派字节,北京,北京·海淀区·北太平庄,亿达信息,15-21K,21,15,18.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/f4d243a526496fe21XB_29S_.html
122,python后台开发工程师,北京,北京·海淀区·中关村,小赢科技,20-40K,40,20,30.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/e1458eab4777c3e50HF92Nm6.html
123,地图数据后台开发-Python,北京,北京,腾讯,30-60K,60,30,45.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
124,后端高级/资深开发工程师—Devops方向,北京,北京·海淀区·知春路,神策数据,25-45K·14薪,45,25,35.0,本科,数据服务,3-5年,https://www.zhipin.com/gongsi/4845e074ed747d6a33V629S0Ew~~.html
125,k8s研发工程师,北京,北京·海淀区·上地,华如科技,15-30K·14薪,30,15,22.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/a1714a743b768dd80nB53d2-.html
126,python,北京,北京·西城区·动物园,奇安信集团,15-30K,30,15,22.5,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/2380ed19723177f203d82dy6FA~~.html
127,Python研发工程师,北京,北京·朝阳区·三元桥,云智慧,15-25K·13薪,25,15,20.0,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/f45a1058a4581c9d1XV_3Ni-Eg~~.html
128,量化策略平台Python开发工程师,北京,北京·西城区·金融街,中泰证券,20-30K·15薪,30,20,25.0,本科,互联网金融,3-5年,https://www.zhipin.com/gongsi/dd4c49c4db61b0ba1nx63tW_.html
129,虚拟化研发工程师,北京,北京·海淀区·颐和园,北京知道创宇,20-40K·14薪,40,20,30.0,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/d272aa0ee2b0eaa41XRz09y1.html
130,软件开发工程师-CDN方向,北京,北京,小米,25-50K,50,25,37.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
131,Python高级开发工程师 (MJ000313),北京,北京·海淀区·西三旗,旷视MEGVII,20-40K·14薪,40,20,30.0,本科,计算机服务,5-10年,https://www.zhipin.com/gongsi/075e0d17cd137e971nV43NU~.html
132,后端开发工程师,北京,北京·朝阳区·望京,数坤网络科技股份...,20-40K·16薪,40,20,30.0,本科,医疗健康,3-5年,https://www.zhipin.com/gongsi/293548364dd0485f1nxz2dW1FVM~.html
133,爬虫工程师 (MJ000289),北京,北京·朝阳区·望京,领创集团,20-40K,40,20,30.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/d96c18ce365ee0f10HV42tm4.html
134,资深软件研发工程师 - Appliance,北京,北京·海淀区·五道口,Veritas,35-40K,40,35,37.5,本科,企业服务,5-10年,https://www.zhipin.com/gongsi/8a6dea8e3e856f371HV63ti9.html
135,python,北京,北京·海淀区·西北旺,软通动力信息技术集团,11-22K,22,11,16.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
136,云平台高级研发工程师(J11553),北京,北京,医渡云,20-40K·14薪,40,20,30.0,本科,互联网,5-10年,https://www.zhipin.com/gongsi/8f580ba1be2477691Xx70966.html
137,后端开发工程师,北京,北京,青藤云安全,20-40K·14薪,40,20,30.0,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/8de1f130f2c1340d0XZ_2g~~.html
138,python研发工程师,北京,北京·朝阳区·百子湾,迈外迪,18-25K,25,18,21.5,本科,新零售,3-5年,https://www.zhipin.com/gongsi/7fdcdfff003aeae11XZ_3dW9Eg~~.html
139,客户端开发工程师,北京,北京·海淀区·双榆树,今日头条,25-50K·15薪,50,25,37.5,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
140,Python后端开发工程师,北京,北京·海淀区·五道口,魔门塔科技,30-60K·14薪,60,30,45.0,硕士,计算机软件,3-5年,https://www.zhipin.com/gongsi/a3fff9582538ae7f03J92d27.html
